,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
881,analyst,na,8.5,11.0,6.0,0,1,Bengaluru,-1.0,-1,-1,-1,-1,-1,-1,1,0,0,0,1,1,0,0,0
882,analyst,na,6.5,8.0,5.0,0,0,Bengaluru,3.6,1001 to 5000 employees,Company - Public,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),28,0,0,0,0,1,0,0,0,0
883,analyst,na,6.5,8.0,5.0,1,0,Bengaluru,3.5,51 to 200 employees,Company - Private,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
884,analyst,na,11.0,15.0,7.0,1,0,Bengaluru,-1.0,1 to 50 employees,Unknown,-1,-1,-1,-1,0,0,1,1,1,1,1,0,1
885,analyst,senior,9.5,12.0,7.0,1,0,Bengaluru,4.0,5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,₹2 to ₹5 billion (INR),40,1,0,1,0,0,1,1,0,0
886,analyst,na,5.5,7.0,4.0,0,1,Bengaluru,3.2,1001 to 5000 employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,₹100 to ₹500 million (INR),21,1,1,0,0,1,1,1,0,1
887,analyst,na,16.5,21.0,12.0,1,0,Bengaluru,4.3,51 to 200 employees,Company - Public,Lending,Finance,-1,10,1,0,0,0,0,1,0,0,0
888,analyst,na,14.5,18.0,11.0,0,0,Bengaluru,4.1,201 to 500 employees,Company - Private,-1,-1,₹10 to ₹25 million (INR),-1,1,0,0,0,1,1,1,0,1
889,analyst,na,9.5,12.0,7.0,0,1,Bengaluru,3.4,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,-1,78,0,0,0,1,1,1,0,0,1
890,analyst,na,8.0,11.0,5.0,1,0,Mumbai,3.1,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹500 million to ₹1 billion (INR),76,0,0,0,1,1,0,0,0,0
891,analyst,na,15.0,16.0,14.0,0,1,Bengaluru,5.0,51 to 200 employees,Company - Private,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
892,analyst,senior,9.0,10.0,8.0,0,1,Pune,3.3,10000+ employees,Company - Public,Insurance Carriers,Insurance,₹10+ billion (INR),38,0,0,0,0,1,1,0,0,0
893,analyst,na,9.0,12.0,6.0,0,1,Chennai,3.8,201 to 500 employees,Company - Private,IT Services,Information Technology,₹25 to ₹50 million (INR),24,0,0,0,0,1,1,0,0,0
894,analyst,na,9.5,12.0,7.0,1,0,Delhi NCR,3.6,10000+ employees,Company - Public,-1,-1,₹10+ billion (INR),59,1,1,0,0,0,1,1,0,0
895,analyst,na,9.0,10.0,8.0,0,0,Pune,2.7,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),24,0,0,0,0,1,1,1,0,0
896,analyst,na,8.735294117647058,10.647058823529411,6.823529411764706,0,0,Pune,-1.0,1 to 50 employees,Company - Private,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0
897,analyst,na,10.0,13.0,7.0,0,1,Mumbai,3.7,1001 to 5000 employees,Company - Public,Video Games,Media,₹1 to ₹2 billion (INR),29,1,0,0,0,1,1,0,0,1
898,analyst,na,18.0,23.0,13.0,1,0,Bengaluru,4.0,51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,₹5 to ₹10 million (INR),11,0,0,0,0,0,0,0,0,0
899,analyst,senior,7.0,9.0,5.0,0,1,Pune,3.5,10000+ employees,School / School District,K-12 Education,Education,-1,139,1,1,0,0,1,1,1,0,0
