,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
721,analyst,na,8.5,11.0,6.0,1,0,Mumbai,4.1,10000+ employees,Government,Federal Agencies,Government,₹100 to ₹500 million (INR),77,1,1,0,0,0,1,1,0,1
722,analyst,na,6.5,8.0,5.0,1,0,Bengaluru,3.4,1001 to 5000 employees,Company - Public,Automotive Parts & Accessories Stores,Retail,₹100 to ₹500 million (INR),27,1,0,0,0,1,1,0,0,1
723,analyst,senior,8.0,10.0,6.0,1,0,Bengaluru,4.8,201 to 500 employees,Company - Private,Banks & Credit Unions,Finance,₹100 to ₹500 million (INR),9,0,0,0,0,0,1,0,0,1
724,analyst,na,9.5,11.0,8.0,0,1,Pune,4.3,501 to 1000 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),26,0,0,0,0,0,1,0,0,0
725,analyst,na,9.5,12.0,7.0,1,0,Bengaluru,4.8,1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,₹10 to ₹25 million (INR),8,1,1,0,0,1,1,1,0,1
726,analyst,senior,8.5,11.0,6.0,1,0,Hyderabad,3.2,10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,₹10+ billion (INR),238,1,0,0,0,0,0,0,0,0
727,analyst,na,8.267857142857142,10.285714285714286,6.25,0,0,Mumbai,3.9,10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,₹10+ billion (INR),223,0,0,0,0,1,0,1,0,1
728,analyst,na,12.0,14.0,10.0,1,0,Bengaluru,3.2,201 to 500 employees,Company - Private,Federal Agencies,Government,₹10 to ₹25 million (INR),26,0,0,0,0,0,0,1,0,0
729,analyst,senior,5.5,7.0,4.0,0,1,Bengaluru,3.5,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹2 to ₹5 billion (INR),147,0,0,0,0,0,1,0,0,1
730,analyst,na,9.5,12.0,7.0,0,1,Bengaluru,4.0,5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,Health Care,₹100 to ₹500 million (INR),103,0,0,0,0,1,0,0,0,0
